year_month,avg_stars,review_count,avg_sentiment
2005-03,4.125,16,0.875
2005-04,4.0,1,1.0
2005-06,4.285714285714286,7,1.0
2005-07,3.0,4,0.75
2005-08,4.5,2,1.0
2005-09,3.7142857142857144,7,0.7142857142857143
2005-10,5.0,1,1.0
2005-11,3.9,10,1.0
2005-12,4.0,5,1.0
2006-01,4.125,8,0.875
2006-02,4.416666666666667,24,0.9583333333333334
2006-03,4.25,8,1.0
2006-04,3.6666666666666665,6,0.8333333333333334
2006-05,3.8125,16,0.75
2006-06,4.05,20,0.8
2006-07,3.9615384615384617,26,0.8461538461538461
2006-08,4.1063829787234045,47,0.851063829787234
2006-09,4.3,30,0.8
2006-10,4.0,34,0.8235294117647058
2006-11,4.185185185185185,27,0.8518518518518519
2006-12,4.0,48,0.8125
2007-01,3.8875,80,0.75
2007-02,4.127272727272727,55,0.8727272727272727
2007-03,3.6363636363636362,66,0.6666666666666666
2007-04,3.9477611940298507,134,0.7910447761194029
2007-05,4.0,58,0.8103448275862069
2007-06,4.186813186813187,91,0.7912087912087912
2007-07,3.7403846153846154,104,0.7692307692307693
2007-08,3.8461538461538463,130,0.7384615384615385
2007-09,3.976470588235294,85,0.788235294117647
2007-10,3.8285714285714287,105,0.7047619047619048
2007-11,3.905511811023622,127,0.7795275590551181
2007-12,3.5164835164835164,91,0.6153846153846154
2008-01,3.796116504854369,103,0.6893203883495146
2008-02,3.9245283018867925,106,0.7830188679245284
2008-03,3.825806451612903,155,0.7612903225806451
2008-04,3.896,125,0.776
2008-05,3.75531914893617,188,0.7021276595744681
2008-06,3.8127853881278537,219,0.7625570776255708
2008-07,3.771551724137931,232,0.7586206896551724
2008-08,3.5973451327433628,226,0.7079646017699115
2008-09,3.792270531400966,207,0.7246376811594203
2008-10,3.6972972972972973,185,0.7297297297297297
2008-11,3.8473282442748094,131,0.8015267175572519
2008-12,3.657754010695187,187,0.7540106951871658
2009-01,3.7394957983193278,238,0.6974789915966386
2009-02,3.7719298245614037,228,0.7280701754385965
2009-03,3.75,308,0.7824675324675324
2009-04,3.7588652482269502,282,0.7375886524822695
2009-05,3.7344398340248963,241,0.7468879668049793
2009-06,3.692015209125475,263,0.6501901140684411
2009-07,3.7119565217391304,368,0.7038043478260869
2009-08,3.769716088328076,317,0.7413249211356467
2009-09,3.680672268907563,357,0.7619047619047619
2009-10,3.812977099236641,262,0.7748091603053435
2009-11,3.7787234042553193,235,0.8
2009-12,3.7991803278688523,244,0.7459016393442623
2010-01,3.814404432132964,361,0.7174515235457064
2010-02,3.844574780058651,341,0.7741935483870968
2010-03,3.778115501519757,329,0.7355623100303952
2010-04,3.8770685579196216,423,0.7825059101654847
2010-05,3.7595238095238095,420,0.7380952380952381
2010-06,3.769230769230769,507,0.7652859960552268
2010-07,3.746236559139785,465,0.7354838709677419
2010-08,3.8183279742765275,622,0.7379421221864951
2010-09,3.7548262548262548,518,0.7297297297297297
2010-10,3.7720739219712525,487,0.75564681724846
2010-11,3.800947867298578,422,0.7345971563981043
2010-12,3.8094059405940595,404,0.745049504950495
2011-01,3.8341793570219966,591,0.7478849407783418
2011-02,3.75594294770206,631,0.7527733755942948
2011-03,3.89375,640,0.76875
2011-04,3.825617283950617,648,0.7577160493827161
2011-05,3.7176470588235295,680,0.7338235294117647
2011-06,3.8026315789473686,684,0.7441520467836257
2011-07,3.8199513381995134,822,0.7262773722627737
2011-08,3.7141025641025642,780,0.7217948717948718
2011-09,3.7267605633802816,710,0.7281690140845071
2011-10,3.7804107424960507,633,0.7266982622432859
2011-11,3.7127158555729984,637,0.6907378335949764
2011-12,3.672043010752688,558,0.7240143369175627
2012-01,3.806410256410256,780,0.7474358974358974
2012-02,3.723529411764706,680,0.6926470588235294
2012-03,3.806451612903226,744,0.7325268817204301
2012-04,3.785070785070785,777,0.7387387387387387
2012-05,3.7949367088607593,790,0.710126582278481
2012-06,3.8269005847953217,855,0.7345029239766082
2012-07,3.832109129066107,953,0.7397691500524659
2012-08,3.757159221076747,873,0.7376861397479955
2012-09,3.7828348504551363,769,0.729518855656697
2012-10,3.771767810026385,758,0.712401055408971
2012-11,3.7982456140350878,684,0.7266081871345029
2012-12,3.7264150943396226,636,0.6855345911949685
2013-01,3.7417783191230205,821,0.7003654080389768
2013-02,3.763819095477387,796,0.7211055276381909
2013-03,3.778265642151482,911,0.747530186608123
2013-04,3.8516260162601625,984,0.7560975609756098
2013-05,3.745158002038736,981,0.7329255861365953
2013-06,3.7614155251141552,876,0.7009132420091324
2013-07,3.764705882352941,1207,0.7174813587406794
2013-08,3.8698039215686273,1275,0.7396078431372549
2013-09,3.844842284739983,1173,0.7433930093776641
2013-10,3.842786069651741,1005,0.736318407960199
2013-11,3.8869828456104942,991,0.727547931382442
2013-12,3.797373358348968,1066,0.7054409005628518
2014-01,3.885151763740771,1219,0.7522559474979491
2014-02,3.8798932384341636,1124,0.7233096085409253
2014-03,3.844789356984479,1353,0.7398373983739838
2014-04,3.874035989717224,1167,0.739502999143102
2014-05,3.896923076923077,1300,0.7369230769230769
2014-06,3.926347760060744,1317,0.7555049354593774
2014-07,3.7909887359198997,1598,0.7146433041301627
2014-08,3.889623265036352,1513,0.7362855254461335
2014-09,3.9087018544935805,1402,0.7432239657631954
2014-10,3.862673484295106,1369,0.7209642074506939
2014-11,3.933384379785605,1306,0.7419601837672282
2014-12,3.956637168141593,1130,0.7477876106194691
2015-01,3.939922480620155,1548,0.7351421188630491
2015-02,3.877266387726639,1434,0.7322175732217573
2015-03,3.9083870967741934,1550,0.7296774193548388
2015-04,3.9521654815772465,1547,0.7627666451195863
2015-05,3.913444893248702,1733,0.7478361223312175
2015-06,3.9040370615486433,1511,0.7313037723362011
2015-07,3.9451907576571736,1861,0.738850080601827
2015-08,3.9440894568690097,1878,0.751863684771033
2015-09,3.9508830022075054,1812,0.7461368653421634
2015-10,3.931710213776722,1684,0.7404988123515439
2015-11,3.948646773074254,1441,0.7578070784177654
2015-12,3.90225035161744,1422,0.7369901547116737
2016-01,3.9279913373037356,1847,0.7325392528424473
2016-02,3.979845880260818,1687,0.7510373443983402
2016-03,3.9677033492822966,1672,0.7464114832535885
2016-04,3.93631669535284,1743,0.7326448651749856
2016-05,3.9816465652857893,1907,0.7593078133193497
2016-06,3.99492385786802,1773,0.7552171460800903
2016-07,3.975644699140401,2094,0.7430754536771729
2016-08,3.9973502914679386,1887,0.7514573396926338
2016-09,4.00375,1600,0.756875
2016-10,4.017029972752043,1468,0.7561307901907357
2016-11,3.978963185574756,1331,0.7528174305033809
2016-12,3.91326164874552,1395,0.7232974910394265
2017-01,3.979779411764706,1632,0.7536764705882353
2017-02,3.9607097591888465,1578,0.7408111533586819
2017-03,3.987987987987988,1665,0.7441441441441441
2017-04,3.9845908607863976,1882,0.7486716259298618
2017-05,3.9911596463858556,1923,0.7462298491939677
2017-06,3.9101642710472277,1948,0.7330595482546202
2017-07,4.018833256775379,2177,0.7588424437299035
2017-08,4.027101769911504,1808,0.7555309734513275
2017-09,3.9779600205023065,1951,0.7370579190158892
2017-10,4.0433558558558556,1776,0.7612612612612613
2017-11,3.9538850284270373,1583,0.7435249526216046
2017-12,4.043360433604336,1107,0.7588075880758808
2018-01,4.0610982211910285,1293,0.7672080433101315
2018-02,4.048517520215634,1484,0.7722371967654986
2018-03,4.061365059486537,1597,0.7664370695053225
2018-04,4.046950890447922,1853,0.770102536427415
2018-05,4.070341207349081,1905,0.7590551181102362
2018-06,3.9857444561774025,1894,0.7323125659978881
2018-07,4.043420469649978,2257,0.7563136907399203
2018-08,4.062196307094267,2058,0.7531584062196307
2018-09,4.046461372231226,1851,0.750945434900054
2018-10,4.074584050487665,1743,0.7653471026965003
2018-11,4.025454545454545,1650,0.756969696969697
2018-12,3.978960396039604,1616,0.7370049504950495
2019-01,3.9602179836512263,1835,0.7356948228882834
2019-02,4.007936507936508,1638,0.7417582417582418
2019-03,4.068848758465012,1772,0.7641083521444695
2019-04,4.033664459161148,1812,0.7483443708609272
2019-05,3.9748496446145434,1829,0.7348277747402953
2019-06,4.032449972958356,1849,0.7463493780421849
2019-07,4.069882777276826,2218,0.7547339945897205
2019-08,4.060824742268041,1940,0.7530927835051546
2019-09,3.9759587864911277,1747,0.7309673726388094
2019-10,3.9629380053908356,1484,0.72911051212938
2019-11,3.970776906628653,1403,0.7348538845331433
2019-12,3.9964438122332857,1406,0.7467994310099573
2020-01,3.957433290978399,1574,0.7337992376111817
2020-02,3.9598420013166558,1519,0.7294272547728768
2020-03,4.09100310237849,967,0.7580144777662875
2020-04,4.153535353535354,495,0.7636363636363637
2020-05,4.017942583732057,836,0.7236842105263158
2020-06,4.07914262159934,1213,0.7502061005770816
2020-07,4.175535590877678,1447,0.769177608845888
2020-08,4.086980306345733,1828,0.7478118161925602
2020-09,4.153972602739726,1825,0.7720547945205479
2020-10,4.107235142118863,1548,0.7558139534883721
2020-11,4.252592592592593,1350,0.802962962962963
2020-12,4.116997792494481,906,0.7726269315673289
2021-01,4.051801801801802,888,0.7376126126126126
2021-02,4.139372822299651,1148,0.7569686411149826
2021-03,4.103817816476893,1493,0.7595445411922304
2021-04,4.082259054634745,1629,0.7452424800491099
2021-05,4.05171411969785,1721,0.7437536316095293
2021-06,3.9601328903654487,1806,0.7253599114064231
2021-07,3.9892588614393127,1862,0.728249194414608
2021-08,4.024590163934426,1708,0.7382903981264637
2021-09,3.966284558327714,1483,0.7215104517869184
2021-10,3.986760124610592,1284,0.7320872274143302
2021-11,3.9683397683397685,1295,0.7227799227799228
2021-12,4.055993690851735,1268,0.751577287066246
2022-01,4.126146788990826,872,0.7637614678899083
